Age,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
15,3.323386,4.059221,4.20503,4.643526,5.182476,5.150686,4.630707,4.123934,3.935672,3.730247,3.229737,2.609204,2.510619,2.527793,2.27666,2.108403,2.16467,2.09205,1.80616,1.730769,1.814882,1.584366,1.659795,1.774439,1.972935,2.20469,2.388467,2.416761,2.902075,2.587963,2.912494,2.934147,3.07396,3.308273,2.781953,2.513756,2.713563,2.505394,..
16,8.168262,9.632588,9.643129,10.21032,10.91231,11.259201,10.140454,9.085209,8.356511,8.326314,7.990635,6.495195,6.216361,5.984957,5.482095,4.99435,4.659132,4.255582,3.925482,3.774156,3.654028,3.574772,3.502202,3.5213,3.837754,4.262905,4.661135,5.040148,5.016574,5.229267,5.381038,5.959695,6.051809,6.076292,5.546438,4.805836,4.503438,4.335762,..
17,17.573756,20.782772,21.22988,21.639798,22.29041,22.174612,19.945637,18.793998,17.520594,17.116949,16.727561,14.521996,13.55434,13.185585,11.652388,10.358821,9.741829,9.200715,8.008524,7.184412,7.2115,6.964701,7.186809,6.995,7.484804,7.740601,8.465106,8.858073,9.25516,9.77748,10.303099,10.865729,12.009464,11.384353,10.191333,9.090477,8.405052,8.091671,..
18,33.23835,37.49382,37.955481,38.886596,38.182215,36.832377,32.157199,31.366589,28.997594,27.073282,26.556443,24.699284,23.10759,22.898036,18.946238,17.323352,16.10671,14.129906,13.17576,11.892966,10.680469,10.315499,10.848074,10.913812,11.794603,12.02576,13.475177,13.469489,14.974399,14.918882,16.241178,17.033085,17.685347,18.98215,16.517188,15.397029,13.157103,12.633216,..
19,50.679221,56.711827,59.152661,59.226185,59.573229,55.132974,48.575758,44.789256,42.730345,39.879459,37.558073,35.213312,34.284961,31.861114,28.164467,24.933573,22.378515,20.569635,18.602728,16.1836,14.525433,13.652453,14.354619,14.487004,15.658246,16.475316,17.65684,18.210011,19.569471,20.295381,21.183032,22.631192,24.483751,25.942458,23.436061,20.620251,18.342553,17.288315,..
20,76.446548,85.061155,85.31266,83.837755,80.556257,78.252076,68.240689,61.81762,55.29022,53.229073,49.502196,43.725673,41.981029,40.923924,35.982075,31.848072,28.489344,25.476049,22.522217,19.710786,18.043109,16.845051,17.17652,16.636704,17.873236,19.105988,20.811834,21.828345,22.488081,24.106527,24.514636,26.763098,28.682664,31.220578,28.294693,27.143782,23.179831,21.648112,..
21,102.976857,114.119694,112.463522,108.258211,104.996039,96.872126,87.941403,78.117766,67.839553,64.257336,59.94963,54.683797,49.779982,47.086778,43.478946,39.559341,35.064727,32.134017,27.94275,23.975947,21.1813,19.636847,19.932287,18.66112,20.082401,21.632597,22.93627,23.893311,25.081013,27.074103,26.823763,29.234274,31.255171,34.488531,31.767874,29.666464,26.657565,25.497034,..
22,139.924653,146.389957,142.642178,137.676735,129.423156,121.79389,107.859608,99.707626,87.48319,79.095642,72.053347,66.989071,61.736995,56.384571,52.069174,49.289288,43.584312,40.113166,34.171218,29.68079,25.897188,24.01316,22.630332,22.08995,22.888589,24.631083,25.58901,27.006644,27.712796,29.26501,29.559526,31.592984,34.155065,37.186177,34.915397,32.93161,29.979711,29.193148,..
23,171.951925,182.37674,170.50284,161.196129,148.510774,138.652691,128.892322,118.701179,106.413042,96.172998,86.169922,78.488662,74.945837,69.073336,62.644617,59.402131,55.354549,49.015535,44.23746,37.938855,33.121976,30.137003,28.37926,27.196806,27.109951,27.744292,28.82829,29.741229,31.276933,32.178787,33.047568,34.432263,36.86357,40.375786,36.659488,37.519238,33.861783,32.861519,..
24,192.386488,198.249686,191.771669,176.767598,161.870545,150.961531,139.157816,131.820316,119.220938,113.311993,102.614511,93.188052,86.320251,83.948129,78.755091,71.192884,66.96127,63.466471,55.871266,48.985559,43.23034,38.707074,36.242127,33.731753,33.565258,33.513794,34.070753,34.465764,35.599794,37.403815,37.101174,39.036136,40.84595,44.676181,41.419606,40.540143,38.861571,36.258102,..
25,197.161776,203.537525,193.019448,186.688286,167.276804,155.974471,144.062161,138.938082,130.862481,121.908907,116.381721,106.687022,100.483549,96.435534,92.398448,87.620074,81.370835,77.070538,71.343222,60.410389,55.782804,50.099969,46.81214,43.665533,42.269049,42.453905,42.166038,41.747255,42.816135,43.657575,43.367353,45.428535,46.652541,49.966994,46.651626,46.063791,42.813836,42.394397,..
26,200.996546,194.337599,186.045843,180.972612,171.079454,154.554462,144.276923,137.989855,128.905768,129.166168,122.239718,117.838335,109.290824,105.168823,101.192651,100.454066,95.842669,90.56312,84.56856,77.594571,68.932994,64.766653,60.22844,55.108267,54.006415,52.716963,51.817647,50.12998,50.86354,50.968543,51.019665,53.24265,53.594303,57.62941,52.007462,50.993539,49.311644,48.554468,..
27,202.745239,193.594317,173.808013,168.82321,160.285555,152.824654,139.187975,132.474782,125.956443,123.188485,123.591347,117.783021,115.675463,111.792898,108.183879,105.318825,104.49196,102.047057,94.251526,87.747772,83.558664,77.556418,73.741148,69.236804,67.086225,67.224534,63.862983,62.418865,62.762091,61.640802,61.561557,60.944236,61.479353,64.967967,60.185117,59.29954,56.42828,55.983872,..
28,173.283079,183.824036,170.159367,155.212027,146.184742,139.013763,133.438995,125.112905,121.042816,117.154984,115.304571,115.562714,113.312963,112.424063,109.666179,107.450414,106.042332,109.823136,104.86527,96.21215,93.681876,91.641883,86.692075,82.062636,80.930883,81.382071,77.930272,75.600973,75.898151,74.646798,71.836096,73.609396,71.549586,74.370691,70.840963,69.083593,66.71759,64.495659,..
29,169.30316,160.020458,166.172842,154.187679,137.423576,127.730792,123.396601,124.024204,113.426109,110.82018,108.024413,108.534843,109.586762,107.971303,109.260409,106.98577,105.566353,107.793868,109.568737,104.02264,99.224514,99.40864,99.862866,92.963489,93.546165,94.9446,91.040204,88.311888,88.619731,85.936873,84.630495,85.197966,82.812996,84.072357,80.674925,78.682284,77.998424,74.383024,..
30,167.718286,156.742506,139.877057,147.545968,132.04892,118.709031,114.024632,114.537427,106.173227,104.209533,98.095514,99.071778,97.9728,98.917974,99.565089,101.038742,101.940894,102.821918,103.685268,103.479097,102.717302,100.060782,103.860714,100.412431,100.607009,101.874498,100.088374,98.889208,99.808898,97.867176,96.659195,95.703375,93.789436,95.732715,88.719975,88.664575,85.70151,84.21032,..
31,135.373859,129.987668,123.765864,109.325327,114.001446,102.419195,91.184721,89.641879,87.986436,88.222726,83.760096,82.156279,80.860191,82.986065,85.683733,87.199933,89.268616,91.900495,91.921332,91.625532,96.004747,97.512589,98.273249,96.920473,101.934614,102.197576,101.393371,101.245929,104.157367,103.5045,102.89722,102.290555,98.949682,101.34304,96.366102,93.752927,93.554806,91.440451,..
32,121.419951,117.295049,110.461209,104.179243,88.110447,93.447472,83.772665,76.648386,73.761803,75.0884,74.915085,70.379817,70.106321,70.373189,71.742839,75.202659,75.955256,80.90871,80.529667,80.508209,83.605993,88.921026,91.024518,90.226804,95.168951,100.744653,97.94232,100.571859,102.780606,104.040289,104.736591,103.149189,101.273216,103.148208,97.791641,98.676886,96.562723,95.374653,..
33,97.225788,103.419391,99.458543,92.795184,84.220261,72.60375,74.997557,71.941594,63.524141,62.496444,62.451793,62.110171,59.278901,59.207751,59.227445,60.92243,64.136666,66.737534,69.196573,68.592457,71.935477,75.069446,81.941688,83.349806,85.758286,91.024844,93.523569,92.518314,96.81643,98.04333,99.918658,100.828193,98.037324,101.547746,97.399139,96.825924,97.102373,94.063744,..
34,87.136403,80.289472,87.046797,83.640311,75.16423,70.011403,58.56098,64.111294,59.957559,53.672351,52.448306,51.870821,51.499735,49.06034,49.256945,49.470872,52.441369,55.701177,55.343722,58.025491,59.704339,62.973757,68.087181,73.737682,76.33388,79.665852,81.737908,84.229103,87.558197,91.679508,92.139414,94.427892,93.16453,96.399619,93.687788,94.102962,94.049443,92.328808,..
35,91.890829,79.001961,66.465979,72.841177,66.933194,61.873059,55.771596,49.85421,52.137384,50.408195,44.915575,43.130756,43.025566,42.528327,41.022451,41.300735,41.917116,44.457838,45.992181,46.328774,49.562554,50.918155,55.001998,57.40489,64.541981,67.587312,70.120664,72.152033,76.059562,77.508133,80.996591,83.727879,85.009841,87.881542,84.242684,85.979198,87.083127,86.819263,..
36,66.09578,74.800978,65.61086,56.00778,58.257302,54.422247,49.283929,47.376541,40.218856,44.040582,40.569348,36.000114,35.398266,34.378656,33.372981,33.081372,32.622411,34.292681,35.351787,37.166074,38.34717,40.861587,43.521651,45.495312,49.299371,54.958911,56.771242,57.607716,61.824074,64.515271,65.154586,69.093146,72.204308,74.710803,73.168499,74.703956,76.176238,74.849488,..
37,61.36502,54.728487,60.898914,53.429974,44.032483,45.252514,42.297871,40.181313,36.873861,32.131322,35.082621,32.131977,28.270756,26.474368,26.70798,26.766669,26.205197,26.487994,26.027176,27.385204,28.832675,30.284844,32.950277,34.057933,37.007272,40.093751,43.411947,44.416613,47.361711,49.141436,51.448602,52.890152,55.231951,60.462582,60.729026,60.651541,62.646711,62.673226,..
38,56.970348,50.037579,44.475924,48.785433,42.352416,33.153836,34.927441,33.849958,31.425034,29.503112,25.134782,26.466043,24.2422,21.768607,20.184617,20.544047,20.33923,19.971137,20.013648,20.305919,21.218214,22.358873,23.450351,25.406426,27.447908,29.153621,31.193462,33.466791,35.569547,37.184833,38.583886,40.88417,40.882731,45.37416,47.08192,48.2476,49.280847,49.974132,..
39,47.805907,45.873819,40.166497,34.184765,36.924795,32.968055,25.543957,27.543091,26.283446,24.164522,22.094364,18.718101,20.086949,17.284835,15.761585,15.000919,14.93814,15.735311,15.485608,15.112507,14.201082,15.266429,17.383563,18.046593,20.228015,21.133168,21.891263,23.484015,26.027581,27.323761,28.245431,29.856874,31.021802,33.004316,35.093383,37.352753,37.97639,37.94956,..
40,40.416318,38.643803,35.179099,31.354699,25.351916,29.22663,24.557172,20.643332,20.638952,19.819908,17.600856,16.194264,13.483995,14.208014,12.663552,10.699477,10.988427,11.23297,10.745142,10.362102,10.466135,10.549539,11.574877,11.94547,13.117321,14.380834,15.06366,16.025023,17.30262,18.527478,18.934305,20.518852,21.389755,23.200221,23.325703,25.985338,27.428204,28.549442,..
41,28.972423,26.567257,25.952383,23.756227,19.290286,15.975447,18.256349,16.92665,13.04215,14.036615,13.068477,11.351361,10.019211,8.109353,8.862745,8.183353,7.626369,7.287684,6.805971,7.105769,6.56512,6.796902,7.189662,7.415544,8.562007,8.561598,9.65874,9.987215,11.084116,11.404023,12.570839,12.634844,13.561085,14.99374,15.89323,15.842127,17.527815,19.013571,..
42,21.439523,20.185956,18.469568,17.617318,16.050928,13.60476,11.237168,12.529572,10.540893,8.19483,8.831435,8.124739,7.342585,6.487992,5.45197,5.193585,5.129857,4.482893,4.467834,4.107354,4.216947,4.161591,4.344747,4.609288,4.889713,5.251797,5.73596,6.39841,6.52893,6.817729,7.51801,8.046553,8.277405,9.516172,9.468779,9.903491,10.611184,11.914644,..
43,14.796201,13.211336,12.36755,11.002769,10.129811,9.496672,7.625288,6.738246,7.228278,6.643175,5.298244,5.198432,4.624874,4.063957,3.677934,3.187261,3.319122,3.038184,2.681327,2.500784,2.445107,2.471627,2.499009,2.428213,2.954991,2.993085,3.249638,3.121966,3.752704,3.96744,4.087747,4.827618,4.90982,5.219533,5.781316,6.006223,6.076255,6.375368,..
44,9.685927,8.09956,7.579875,6.861426,6.228906,5.890662,5.041681,4.509762,3.73219,4.419659,3.480905,2.656683,2.80218,2.485335,2.342818,1.913008,1.514176,1.669181,1.510063,1.376583,1.216921,1.29877,1.296418,1.315166,1.444949,1.59779,1.753439,1.868126,2.014264,2.129444,2.369959,2.610584,2.976328,3.351186,3.272133,3.407794,3.410829,3.889158,..
45,5.266747,4.571,4.419387,3.844933,3.457872,3.366791,2.747843,2.697766,2.34995,2.051094,2.140638,1.739375,1.326511,1.32833,1.164285,1.056731,0.948822,0.787934,0.770499,0.754739,0.747219,0.62637,0.711732,0.612831,0.709875,0.838847,0.892321,1.001088,1.068084,1.016405,1.229136,1.547488,1.768006,1.584726,1.974251,2.004224,1.848877,2.134349,..
46,2.669823,2.366515,2.390541,2.001001,1.675929,1.578689,1.288351,1.551205,1.321997,1.115295,0.9017,0.957555,0.773753,0.555426,0.489203,0.51819,0.457567,0.394691,0.297021,0.271891,0.309266,0.26118,0.288464,0.316634,0.311344,0.383763,0.431085,0.393706,0.409598,0.549472,0.552259,0.911343,0.93052,0.947213,1.02423,1.091662,1.045041,1.178051,..
47,1.128914,1.128966,1.01157,1.124428,0.944291,0.827539,0.746842,0.734729,0.691773,0.660412,0.556701,0.392381,0.390096,0.33236,0.256849,0.228983,0.210131,0.228825,0.176394,0.160916,0.119476,0.160792,0.118262,0.150076,0.206432,0.21045,0.207847,0.22994,0.263617,0.259582,0.246123,0.352742,0.503068,0.543056,0.617785,0.540599,0.594173,0.559929,..
48,0.69103,0.561923,0.516148,0.468141,0.5335,0.440152,0.338007,0.288738,0.275272,0.344645,0.30528,0.228166,0.184274,0.174929,0.131216,0.109611,0.096286,0.071569,0.133904,0.075636,0.041276,0.070034,0.061811,0.069243,0.121377,0.076543,0.110466,0.169235,0.171851,0.118255,0.17936,0.250864,0.237105,0.321031,0.398132,0.341357,0.30053,0.333589,..
49,1.087455,0.934579,0.688534,0.66226,0.667794,0.881451,0.649297,0.686474,0.688419,0.6288,0.735737,0.522958,0.326315,0.244755,0.288825,0.268097,0.21477,0.188129,0.179049,0.103728,0.088286,0.049543,0.078255,0.065863,0.117871,0.149107,0.212273,0.207915,0.228784,0.274408,0.294842,0.312658,0.325149,0.493001,0.492827,0.601446,0.560785,0.599165,..
